## net.sf.picard.metrics.StringHeader
# net.sf.picard.sam.MarkDuplicates INPUT=[/share/crsp/lab/seyedam/erebboah/bulk_atac_pipeline/C2C12_MB_ER2/mapped/C2C12_MB_ER2.sort.bam] OUTPUT=/share/crsp/lab/seyedam/erebboah/bulk_atac_pipeline/C2C12_MB_ER2/mapped/C2C12_MB_ER2.sort.nodup.bam METRICS_FILE=/share/crsp/lab/seyedam/erebboah/bulk_atac_pipeline/C2C12_MB_ER2/mapped/C2C12_MB_ER2.duplicates_metric.txt REMOVE_DUPLICATES=true    PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates ASSUME_SORTED=false MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 READ_NAME_REGEX=[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).* OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false
## net.sf.picard.metrics.StringHeader
# Started on: Mon Mar 15 13:27:03 PDT 2021

## METRICS CLASS	net.sf.picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	529426	34891985	3732096	381085	4925726	802000	0.145528	129298893

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.020497
2.0	1.799636
3.0	2.394502
4.0	2.848675
5.0	3.195432
6.0	3.460178
7.0	3.662308
8.0	3.816633
9.0	3.934458
10.0	4.024417
11.0	4.093099
12.0	4.145537
13.0	4.185573
14.0	4.21614
15.0	4.239478
16.0	4.257296
17.0	4.2709
18.0	4.281287
19.0	4.289217
20.0	4.295271
21.0	4.299894
22.0	4.303423
23.0	4.306118
24.0	4.308175
25.0	4.309746
26.0	4.310945
27.0	4.31186
28.0	4.312559
29.0	4.313093
30.0	4.313501
31.0	4.313812
32.0	4.314049
33.0	4.314231
34.0	4.314369
35.0	4.314475
36.0	4.314555
37.0	4.314617
38.0	4.314664
39.0	4.3147
40.0	4.314727
41.0	4.314748
42.0	4.314764
43.0	4.314777
44.0	4.314786
45.0	4.314793
46.0	4.314798
47.0	4.314803
48.0	4.314806
49.0	4.314808
50.0	4.31481
51.0	4.314811
52.0	4.314813
53.0	4.314813
54.0	4.314814
55.0	4.314814
56.0	4.314815
57.0	4.314815
58.0	4.314815
59.0	4.314815
60.0	4.314816
61.0	4.314816
62.0	4.314816
63.0	4.314816
64.0	4.314816
65.0	4.314816
66.0	4.314816
67.0	4.314816
68.0	4.314816
69.0	4.314816
70.0	4.314816
71.0	4.314816
72.0	4.314816
73.0	4.314816
74.0	4.314816
75.0	4.314816
76.0	4.314816
77.0	4.314816
78.0	4.314816
79.0	4.314816
80.0	4.314816
81.0	4.314816
82.0	4.314816
83.0	4.314816
84.0	4.314816
85.0	4.314816
86.0	4.314816
87.0	4.314816
88.0	4.314816
89.0	4.314816
90.0	4.314816
91.0	4.314816
92.0	4.314816
93.0	4.314816
94.0	4.314816
95.0	4.314816
96.0	4.314816
97.0	4.314816
98.0	4.314816
99.0	4.314816
100.0	4.314816

